2014-08-21 00:31:58 /tmp/gateway.store.cache.php updated and reload workers
2014-08-21 00:32:00 Server:worker[9873:BusinessWorker] exit with status 12
2014-08-21 00:32:00 Server:worker[9864:BusinessWorker] exit with status 12
2014-08-21 00:32:00 Server:worker[9866:ChatWeb] exit with status 12
2014-08-21 00:32:00 Server:worker[9868:Monitor] exit with status 12
2014-08-21 00:32:00 Server:worker[9871:StatisticProvider] exit with status 12
2014-08-21 00:32:00 Server:worker[9872:BusinessWorker] exit with status 12
2014-08-21 00:32:00 Server:worker[9875:StatisticWeb] exit with status 12
2014-08-21 00:32:00 Server:worker[9879:StatisticWorker] exit with status 12
2014-08-21 00:32:00 Server:worker[9881:BusinessWorker] exit with status 12
2014-08-21 00:32:01 Server:worker[21021:BusinessWorker] exit with status 12
2014-08-21 00:32:01 Server:worker[21022:ChatWeb] exit with status 12
2014-08-21 00:32:01 Server:worker[21020:BusinessWorker] exit with status 12
2014-08-21 00:32:01 Server:worker[21023:Monitor] exit with status 12
2014-08-21 00:32:01 Server:worker[21024:StatisticProvider] exit with status 12
2014-08-21 00:32:01 Server:worker[21025:BusinessWorker] exit with status 12
2014-08-21 00:32:01 Server:worker[21026:StatisticWeb] exit with status 12
2014-08-21 00:32:01 Server:worker[21027:StatisticWorker] exit with status 12
2014-08-21 00:32:01 Server:worker[21028:BusinessWorker] exit with status 12
2014-08-21 00:32:02 Server:worker[21038:BusinessWorker] exit with status 12
2014-08-21 00:32:02 Server:worker[21030:BusinessWorker] exit with status 12
2014-08-21 00:32:02 Server:worker[21031:ChatWeb] exit with status 12
2014-08-21 00:32:02 Server:worker[21032:BusinessWorker] exit with status 12
2014-08-21 00:32:02 Server:worker[21033:Monitor] exit with status 12
2014-08-21 00:32:02 Server:worker[21034:StatisticProvider] exit with status 12
2014-08-21 00:32:02 Server:worker[21035:BusinessWorker] exit with status 12
2014-08-21 00:32:02 Server:worker[21036:StatisticWeb] exit with status 12
2014-08-21 00:32:02 Server:worker[21037:StatisticWorker] exit with status 12
2014-08-21 00:32:03 Server:worker[21043:BusinessWorker] exit with status 12
2014-08-21 00:32:03 Server:worker[21040:BusinessWorker] exit with status 12
2014-08-21 00:32:03 Server:worker[21041:BusinessWorker] exit with status 12
2014-08-21 00:32:03 Server:worker[21042:ChatWeb] exit with status 12
2014-08-21 00:32:03 Server:worker[21044:Monitor] exit with status 12
2014-08-21 00:32:03 Server:worker[21045:StatisticProvider] exit with status 12
2014-08-21 00:32:03 Server:worker[21046:BusinessWorker] exit with status 12
2014-08-21 00:32:03 Server:worker[21047:StatisticWeb] exit with status 12
2014-08-21 00:32:03 Server:worker[21048:StatisticWorker] exit with status 12
2014-08-21 00:32:04 Server:worker[21059:BusinessWorker] exit with status 12
2014-08-21 00:32:04 Server:worker[21060:BusinessWorker] exit with status 12
2014-08-21 00:32:04 Server:worker[21061:BusinessWorker] exit with status 12
2014-08-21 00:32:04 Server:worker[21062:ChatWeb] exit with status 12
2014-08-21 00:32:04 Server:worker[21064:Monitor] exit with status 12
2014-08-21 00:32:04 Server:worker[21068:StatisticProvider] exit with status 12
2014-08-21 00:32:04 Server:worker[21069:BusinessWorker] exit with status 12
2014-08-21 00:32:04 Server:worker[21070:StatisticWeb] exit with status 12
2014-08-21 00:32:04 Server:worker[21074:StatisticWorker] exit with status 12
2014-08-21 00:32:05 Server:worker[21081:BusinessWorker] exit with status 12
2014-08-21 00:32:05 Server:worker[21079:BusinessWorker] exit with status 12
2014-08-21 00:32:05 Server:worker[21080:BusinessWorker] exit with status 12
2014-08-21 00:32:05 Server:worker[21082:ChatWeb] exit with status 12
2014-08-21 00:32:05 Server:worker[21084:Monitor] exit with status 12
2014-08-21 00:32:05 Server:worker[21087:StatisticProvider] exit with status 12
2014-08-21 00:32:05 Server:worker[21088:BusinessWorker] exit with status 12
2014-08-21 00:32:05 Server:worker[21090:StatisticWeb] exit with status 12
2014-08-21 00:32:05 Server:worker[21092:StatisticWorker] exit with status 12
2014-08-21 00:32:06 Server:worker[21098:BusinessWorker] exit with status 12
2014-08-21 00:32:06 Server:worker[21100:BusinessWorker] exit with status 12
2014-08-21 00:32:06 Server:worker[21101:BusinessWorker] exit with status 12
2014-08-21 00:32:06 Server:worker[21102:ChatWeb] exit with status 12
2014-08-21 00:32:06 Server:worker[21104:Monitor] exit with status 12
2014-08-21 00:32:06 Server:worker[21106:StatisticProvider] exit with status 12
2014-08-21 00:32:06 Server:worker[21107:BusinessWorker] exit with status 12
2014-08-21 00:32:06 Server:worker[21109:StatisticWeb] exit with status 12
2014-08-21 00:32:06 Server:worker[21112:StatisticWorker] exit with status 12
2014-08-21 00:32:07 Server:worker[21119:BusinessWorker] exit with status 12
2014-08-21 00:32:07 Server:worker[21118:BusinessWorker] exit with status 12
2014-08-21 00:32:07 Server:worker[21120:BusinessWorker] exit with status 12
2014-08-21 00:32:07 Server:worker[21121:ChatWeb] exit with status 12
2014-08-21 00:32:07 Server:worker[21123:Monitor] exit with status 12
2014-08-21 00:32:07 Server:worker[21125:StatisticProvider] exit with status 12
2014-08-21 00:32:07 Server:worker[21126:BusinessWorker] exit with status 12
2014-08-21 00:32:07 Server:worker[21127:StatisticWeb] exit with status 12
2014-08-21 00:32:07 Server:worker[21129:StatisticWorker] exit with status 12
2014-08-21 00:32:08 Server:worker[21137:BusinessWorker] exit with status 12
2014-08-21 00:32:08 Server:worker[21138:BusinessWorker] exit with status 12
2014-08-21 00:32:08 Server:worker[21139:BusinessWorker] exit with status 12
2014-08-21 00:32:08 Server:worker[21140:ChatWeb] exit with status 12
2014-08-21 00:32:08 Server:worker[21141:Monitor] exit with status 12
2014-08-21 00:32:08 Server:worker[21145:StatisticProvider] exit with status 12
2014-08-21 00:32:08 Server:worker[21146:BusinessWorker] exit with status 12
2014-08-21 00:32:08 Server:worker[21150:StatisticWeb] exit with status 12
2014-08-21 00:32:08 Server:worker[21151:StatisticWorker] exit with status 12
2014-08-21 00:32:47 Worker[FileMonitor]:terminal closed and reset workers fd
